uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1719831264","01 Jul 2024, 10:54","David Bowie","5441c29d-3602-4898-b1a1-b77fa23b8e50","“Heroes”","f0a4ed57-10e0-4c37-81b4-36311dc7d4b6","“Heroes”",""
"1719830981","01 Jul 2024, 10:49","Magic Shoppe","","Reverberation","c88199b6-3802-42fc-bd95-3732156f369d","All The Way","179e4673-67d0-408c-b792-a8297f2f8f5b"
"1719830772","01 Jul 2024, 10:46","The Lovetones","3aab9202-0373-438e-b03f-16a625bf7a98","Axiom","f514eb94-25e8-49b0-8438-e63e73dc3783","Wintertime In Hollywood","d8ff6bb4-9905-32aa-b8db-71abf70fa2e9"
"1719830334","01 Jul 2024, 10:38","The Black Angels","49814f71-8fef-41ec-9af8-b6995c0bd601","Psychedelica, Volume Three","","You on the Run","421dfd38-7da0-4739-863b-2494d5d02143"
"1719830082","01 Jul 2024, 10:34","Pixies","b6b2bb8d-54a9-491f-9607-7b546023b433","Wave Of Mutilation: Best Of Pixies","7764cb26-a401-4214-9d30-be0bde7f3f19","Where Is My Mind?",""
"1719829830","01 Jul 2024, 10:30","The Brian Jonestown Massacre","381e8434-109a-439c-8acc-5d328359f2e0","Methodrone","14d10939-087c-4fb3-8741-859f774d4d5a","She Made Me","321950b1-fb00-3876-974d-d8fe229d6d7e"
"1719829483","01 Jul 2024, 10:24","Queens of the Stone Age","7dc8f5bd-9d0b-4087-9f73-dc164950bbd8","Rated R","11316292-dda6-4465-863a-a82c40e6a6fd","The Lost Art of Keeping a Secret","690c2e80-ac62-411f-a63a-25b7665e4a25"
"1719829111","01 Jul 2024, 10:18","Faith No More","b15ebd71-a252-417d-9e1c-3e6863da68f8","Album of the Year","00548932-8c25-34cd-b61d-7f753b8b228e","Helpless","015c6e9d-7b2d-4ac7-bb94-b35dd7ee9982"
"1719828827","01 Jul 2024, 10:13","Truckfighters","724e826b-bd80-49ca-8bfe-4e470b0b9aa9","Universe","6f1a3283-7daf-42ab-86ec-b7e6b4759910","Prophet","a6bc2e8f-23b0-4fb7-a681-2ffd10839cce"
"1719828540","01 Jul 2024, 10:09","Wooden Shjips","3754dc74-381e-4237-bd44-65f5600a4d88","West","168e9911-5877-4755-aaf9-e94dc362a042","Flight","571d9ede-c6b0-3934-984e-2ba3045b0c21"
"1719827146","01 Jul 2024, 09:45","The Out Crowd","","Go On, Give a Damn","3c3d5047-e06a-4653-a115-d840da71942d","C’mon Children",""
"1719826900","01 Jul 2024, 09:41","Porno for Pyros","211ee5ca-67e3-4845-8313-6e6cbab95b1b","Porno for Pyros","0d195f66-db2c-4aa1-b093-246a81d98c7c","Cursed Female","f97d9160-4e57-4715-9939-e6c8688ff4dd"
"1719826755","01 Jul 2024, 09:39","The Pretty Things","07deede6-db1d-4ede-b19e-5d46df592841","The Sweet Pretty Things (Are in bed now, of course)","","The Same Sun",""
"1719826571","01 Jul 2024, 09:36","Screaming Trees","eda2c063-886b-4150-8665-2858fbeb737f","Sweet Oblivion (Expanded Edition)","","More or Less","08513cb0-cb48-3053-89ce-35247e114f3f"
"1719826383","01 Jul 2024, 09:33","Mark Lanegan","a9126556-f555-4920-9617-6e013f8228a7","Scraps at Midnight","11bb2530-518e-4467-af3b-ac3113375f35","Hospital Roll Call","03249337-9330-3246-888b-43bab2d50bf9"
"1719826119","01 Jul 2024, 09:28","Black Mountain","4898b9ad-f564-4ff1-9046-b1a16dfd5200","Black Mountain","0f3a92c1-271c-4b69-8331-b21ee4532f40","Don't Run Our Hearts Around","4f934692-a896-4998-b560-2dcfee0df2bc"
"1719821572","01 Jul 2024, 08:12","Spiritualized","65041e06-83d2-4987-ae52-c17a915fc82a","Ladies and Gentlemen We Are Floating in Space","02c019fd-a51a-48b2-bd8f-a64803537dc1","Come Together","66fad069-d4ab-4ab6-98ee-70fb9a2e8be4"
